cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
chloroplast expression,formulation_factor,protein delivery,clinical_outcome,promotes,1,1,medium,confirm that chloroplast expression and oral administration of lyophilized leaves is a potential delivery system of ther,37546919
CMS,formulation_factor,soluble monomer concentration,quality_attribute,decreases,1,1,high,CMS can cause the complete disappearance of a free soluble protein in trastuzumab (TRA) tablets after reconstituted.,40323221
CMS,formulation_factor,solution turbidity,quality_attribute,increases,1,1,high,CMS...affects the soluble protein monomer concentration and solution turbidity.,40323221
CMS,formulation_factor,thermal stability,quality_attribute,destabilizes,1,1,high,...and reduces the thermal stability of TRA.,40323221
first constant domain,sequence_structure,Fab assembly,quality_attribute,requires,1,1,high,A deletion up to the interchain disulfide bond in the first constant domain (CH1) of the Ox IgG3 Fd chain led to proper ,8514187
electrostatic interaction,degradation_pathway,soluble monomer concentration,quality_attribute,destabilizes,1,1,medium,...where the positively charged protein forms a strong electrostatic interaction with the negatively charged CMS.,40323221
CMS,formulation_factor,hydrophobicity,quality_attribute,increases,1,1,medium,...increases the hydrophobicity of the TRA-CMS complex.,40323221
REES,quality_attribute,sensitivity to conformational changes,quality_attribute,increases,1,1,high,the fluorescence red edge excitation shift (REES) phenomenon is sensitive to a range of changes in protein structure.,32869839
quantification,quality_attribute,sensitivity to unfolding,quality_attribute,increases,1,1,high,"the quantified REES data show remarkable sensitivity, being able to discern between structurally identical antibodies an",32869839
REES data,quality_attribute,predict stability,quality_attribute,increases,1,1,high,"we demonstrate the approach is able to predict the stability of mAbs both in the short (hours), medium (days) and long-t",32869839
polysorbate degrading HCPs,sequence_structure,HCP persistence,clinical_outcome,destabilizes,1,1,high,HCPs represent a critical challenge in the manufacturing of monoclonal antibody therapeutics due to their potential to p,41623200
mAb-HCP interaction,sequence_structure,HCP persistence,clinical_outcome,promotes,1,1,high,direct mAb-HCP interaction is a relevant mechanism contributing to HCP persistence during downstream processing.,41623200
binding behavior,sequence_structure,interaction strength,quality_attribute,correlates,1,1,medium,The initial slope of the binding isotherm correlated well with kinetic parameters and enabled robust ranking of interact,41623200
PLBL2 levels,quality_attribute,HCP co-elution,clinical_outcome,correlates,1,1,medium,PLBL2 levels in Protein A elution pools correlated well with interaction propensity confirming that transient interactio,41623200
pH condition,formulation_factor,soluble protein concentration,quality_attribute,decreases,1,1,high,The concentration of the free soluble protein detected by SE-HPLC was significantly and universally reduced when pH was ,40323221
partial unfolding,degradation_pathway,aggregation,degradation_pathway,induces,1,1,medium,...partial unfolding followed by irreversible aggregation.,41752198
high protein concentration,stress_condition,self-association,degradation_pathway,promotes,1,1,medium,...high local protein concentration... can promote either self-association.,41752198
pore spaces,stress_condition,self-association,degradation_pathway,promotes,1,1,medium,...confined pore spaces... can promote either self-association.,41752198
surface chemistry,stress_condition,self-association,degradation_pathway,promotes,1,1,medium,...heterogeneous surface chemistry... can promote either self-association.,41752198
polysorbate 80 hydrolysis,formulation_factor,visible particles,quality_attribute,induces,1,1,high,An observation of visible particulate matter was made during formulation development of a mAb.,24942482
loss of polysorbate,formulation_factor,colloidal instability,quality_attribute,destabilizes,1,1,high,investigations initiated to understand the colloidal instability of the formulation.,24942482
polysorbate 80 hydrolysis,formulation_factor,IgG particles,clinical_outcome,increases,1,1,medium,increasing the risk that colloidal IgG particles will form in mAb drug product.,24942482
polysorbate 80 hydrolysis,formulation_factor,composition change,formulation_factor,modifies,1,1,medium,This leads to a change in the composition of the formulation over time.,24942482
nanobody Nb M4,sequence_structure,thermal stability,quality_attribute,increases,1,1,high,"It exhibits VH-like features, possesses higher thermal stability than monoclonal antibody (mAb 1E6)...",39755714
Fe nanozyme,sequence_structure,high activity,quality_attribute,increases,1,1,high,This composite integrates high peroxidase-like activity with magnetic responsiveness.,41093513
monoclonal antibody,sequence_structure,norovirus detection,quality_attribute,promotes,1,1,high,we designed a nanozyme-assisted magnetic relaxation switching (MRS) sensor strategy for the visual and precise detection,41093513
nanozyme-assisted sensor,formulation_factor,low detection limit,quality_attribute,induces,1,1,high,This strategy achieves a low detection limit of 0.7pg/mL.,41093513
method,formulation_factor,recovery rate,quality_attribute,increases,1,1,high,"the method was successfully applied to analyze norovirus-contaminated oyster and scallop samples, yielding recovery rate",41093513
Arpp21,sequence_structure,Rag1 expression,quality_attribute,promotes,1,1,high,Arpp21 promotes the expression of target mRNAs.,38467629
Arpp21 deficiency,sequence_structure,Rag1 expression,quality_attribute,decreases,1,1,high,Arpp21-deficient thymocytes show reduced Rag1 expression.,38467629
Arpp21 deficiency,sequence_structure,TCR diversity,clinical_outcome,destabilizes,1,1,high,Arpp21-deficient thymocytes show... a less diverse TCR repertoire.,38467629
TCR signals,stress_condition,Arpp21 expression,sequence_structure,destabilizes,1,1,medium,Arpp21 is downregulated in response to T cell receptor (TCR) and Ca signals.,38467629
biologic mechanism,degradation_pathway,hydrolysis,degradation_pathway,induces,1,1,medium,Data suggest that there is a lipid-specific mechanism rather than a general biologic hydrolysis mechanism.,24942482
ALD-coated microparticles,formulation_factor,IgG titer,quality_attribute,induces,1,1,high,ALD-coated RABV vaccine microparticles induced IgG and neutralizing antibody titers nearly an order of magnitude higher ,40759319
single-administration vaccine,formulation_factor,protective effects,clinical_outcome,induces,1,1,high,the need for multiple injections to achieve protective immune responses.,40759319
novel linker platform,formulation_factor,ADC stability,quality_attribute,stabilizes,1,1,high,designed to enhance ADC stability and pharmacokinetics,40918322
novel linker platform,formulation_factor,drug-to-antibody ratio,quality_attribute,stabilizes,1,1,high,maintained drug-to-antibody ratios (DAR) with reduced aggregation,40918322
reduced aggregation,degradation_pathway,profile,clinical_outcome,promotes,1,1,medium,suggesting an improved pharmacokinetic profile,40918322
APL-1082,formulation_factor,high-DAR ADCs,quality_attribute,induces,1,1,high,enabled the production of high-DAR ADCs,40918322
high-DAR ADCs,quality_attribute,homogeneity,quality_attribute,increases,1,1,medium,achieving a DAR of 10 with promising homogeneity,40918322
loncastuximab,formulation_factor,cell death,clinical_outcome,induces,1,1,high,...thereby disrupting the basic DNA metabolism process and ultimately leading to cell death.,35061047
chromatographic media,formulation_factor,unfolding,degradation_pathway,promotes,1,1,medium,These effects can promote... partial unfolding followed by irreversible aggregation.,41752198
loncastuximab,formulation_factor,hematological events,clinical_outcome,induces,1,1,medium,Haematological adverse events such as anaemia and neutropenia...were common after administration of loncastuximab tesiri,35061047
L-methionine,formulation_factor,oxidation,degradation_pathway,prevents,1,1,high,Free L-methionine is known to protect methionine residues in proteins from oxidation.,30280329
N-acetyl-DL-tryptophan,formulation_factor,light exposure peroxide production,degradation_pathway,decreases,1,1,medium,N-acetyl-DL-tryptophan has a lower oxidation potential and produces less peroxide upon light exposure.,30280329
multi-step chromatography,stress_condition,structural change,sequence_structure,induces,1,1,high,The application of multi-step chromatographic processes during purification... may induce structural alterations.,41752198
structural alterations,sequence_structure,unfolding,degradation_pathway,induces,1,1,high,"...may induce structural alterations, including protein unfolding.",41752198
structural alterations,sequence_structure,aggregation,degradation_pathway,induces,1,1,high,"...may induce structural alterations, including... aggregation.",41752198
protein unfolding,degradation_pathway,decreased quality,quality_attribute,destabilizes,1,1,high,...resulting in decreased product quality and therapeutic effectiveness.,41752198
aggregation,degradation_pathway,decreased quality,quality_attribute,destabilizes,1,1,high,...resulting in decreased product quality and therapeutic effectiveness.,41752198
chromatographic media,formulation_factor,self-association,degradation_pathway,promotes,1,1,medium,These effects can promote either self-association driven by colloidal interactions.,41752198
loncastuximab,formulation_factor,overall response rate,quality_attribute,increases,1,1,high,"In LOTIS-1, the overall response rate (ORR) of R/R DLBCL patients treated with loncastuximab tesirine was 42.3%.",35061047
